field_name,alias,type,arrow,table,dec
DL CE Average_avg,DL CE Average,raw,inverse,,0
DL CE Average_sum,DL CE Average,raw,inverse,,0
DL CE Max_avg,DL CE Max,raw,inverse,,0
DL CE Max_sum,DL CE Max,raw,inverse,,0
Non-HS TCP Max(dBm)_avg,Non-HS TCP Max(dBm),raw,inverse,,2
Non-HS TCP Max(dBm)_sum,Non-HS TCP Max(dBm),raw,inverse,,2
Non-HS TCP Mean(dBm)_avg,Non-HS TCP Mean(dBm),raw,inverse,,2
Non-HS TCP Mean(dBm)_sum,Non-HS TCP Mean(dBm),raw,inverse,,2
Non-HS TCP Min(dBm)_avg,Non-HS TCP Min(dBm),raw,inverse,,2
Non-HS TCP Min(dBm)_sum,Non-HS TCP Min(dBm),raw,inverse,,2
RTWP Max(dBm)_avg,RTWP Max(dBm),raw,inverse,rtwp,2
RTWP Max(dBm)_sum,RTWP Max(dBm),raw,inverse,,2
RTWP Mean(dBm)_avg,RTWP Mean(dBm),raw,inverse,rtwp,2
RTWP Mean(dBm)_sum,RTWP Mean(dBm),raw,inverse,,2
RTWP Min(dBm)_avg,RTWP Min(dBm),raw,inverse,rtwp,2
RTWP Min(dBm)_sum,RTWP Min(dBm),raw,inverse,,2
TCP Max(dBm)_avg,TCP Max(dBm),raw,inverse,,2
TCP Max(dBm)_sum,TCP Max(dBm),raw,inverse,,2
TCP Mean(dBm)_avg,TCP Mean(dBm),raw,inverse,,2
TCP Mean(dBm)_sum,TCP Mean(dBm),raw,inverse,,2
TCP Min(dBm)_avg,TCP Min(dBm),raw,inverse,,2
TCP Min(dBm)_sum,TCP Min(dBm),raw,inverse,,2
Total Revenue ($),Total Revenue ($),dollar,normal,traffic,0
UL CE Average_avg,UL CE Average,raw,inverse,,0
UL CE Average_sum,UL CE Average,raw,inverse,,0
UL CE Max_avg,UL CE Max,raw,inverse,,0
UL CE Max_sum,UL CE Max,raw,inverse,,0
UMTS_CS_Acc (%),UMTS CS Acc (%),perc,normal,main,2
UMTS_CS_Ret (%),UMTS CS Ret (%),perc,normal,main,2
UMTS_PS_Acc (%),UMTS PS Acc (%),perc,normal,main,2
UMTS_PS_Ret (%),UMTS PS Ret (%),perc,normal,main,2
