field_name,alias,type,arrow,table,dec
E-RAB Setup Success Rate (ALL) (%),Accessability (%),calc,normal,main,2
Ratainability (%),Ratainability (%),calc,normal,main,2
Inter-RAT Handover Out Success Rate (LTE to WCDMA),IRAT Handover Out Success Rate (LTE to WCDMA) (%),calc,normal,main,2
CSFB Response Success Rate (%),CSFB Response Success Rate (%),calc,normal,main,2
RRC Setup Success Rate (%),RRC Setup Success Rate (%),calc,normal,,2
Total 4G Revenue ($),Total 4G Revenue ($),calc,normal,traffic,0
L.RRC.ConnReq.Att_sum,RRC Attempts,raw,normal,basic,0
L.RRC.ConnReq.Att.Emc,,,,,
L.RRC.ConnReq.Att.HighPri,,,,,
L.RRC.ConnReq.Att.MoData,,,,,
L.RRC.ConnReq.Att.MoSig,,,,,
L.RRC.ConnReq.Att.Mt,,,,,
L.RRC.ConnReq.Succ,,,,,
L.RRC.ConnReq.Succ.Emc,,,,,
L.RRC.ConnReq.Succ.HighPri,,,,,
L.RRC.ConnReq.Succ.MoData,,,,,
L.RRC.ConnReq.Succ.MoSig,,,,,
L.RRC.ConnReq.Succ.Mt,,,,,
RRC Connection Setup Success Rate (other)(%),,,,,
RRC Connection Setup Success Rate (service)(%),,,,,
RRC Setup Success Rate(%),,,,,
RRC Setup Success Rate (Service:Emergency)(%),,,,,
RRC Setup Success Rate (Service:HighPriorityAccess)(%),,,,,
RRC Setup Success Rate (Service:mo-Data)(%),,,,,
RRC Setup Success Rate (Service:mt-Access)(%),,,,,
Service Setup Success Rate (ALL),,,,,
E-RAB Setup Success Rate (ALL)(%),,,,,
L.E-RAB.AttEst_sum,E-RAB Attempts,raw,normal,basic,0
L.E-RAB.AttEst.QCI.9,,,,,
L.E-RAB.InitAttEst,,,,,
L.E-RAB.InitSuccEst,,,,,
L.E-RAB.SuccEst,,,,,
L.E-RAB.SuccEst.QCI.9,,,,,
Call Drop Rate (All)(%),,,,,
L.E-RAB.AbnormRel_sum,E-RAB Drops,raw,inverse,basic,0
L.E-RAB.AbnormRel.Cong,,,,,
L.E-RAB.AbnormRel.HOFailure,,,,,
L.E-RAB.AbnormRel.MME,,,,,
L.E-RAB.AbnormRel.QCI.9,,,,,
L.E-RAB.AbnormRel.Radio,,,,,
L.E-RAB.AbnormRel.TNL,,,,,
L.E-RAB.NormRel,,,,,
L.E-RAB.NormRel.QCI.9,,,,,
Service Drop Call Times,,,,,
Service Drop Rate (All),,,,,
Service Drop Times,,,,,
L.E-RAB.FailEst.MME_sum,L.E-RAB.FailEst.MME,raw,inverse,congestion_4G_detailed,0
L.E-RAB.FailEst.NoRadioRes_sum,L.E-RAB.FailEst.NoRadioRes,raw,inverse,congestion_4G_detailed,0
L.E-RAB.FailEst.NoReply_sum,L.E-RAB.FailEst.NoReply,raw,inverse,congestion_4G_detailed,0
L.E-RAB.FailEst.SecurModeFail_sum,L.E-RAB.FailEst.SecurModeFail,raw,inverse,congestion_4G_detailed,0
L.E-RAB.FailEst.TNL_sum,L.E-RAB.FailEst.TNL,raw,inverse,congestion_4G_detailed,0
L.Cell.Unavail.Dur.Manual(s),,,,,
L.Cell.Unavail.Dur.Sys(s),,,,,
L.LC.DLCong.Dur.Cell(s),,,,,
L.LC.DLCong.Num.Cell,,,,,
L.LC.ULCong.Dur.Cell(s),,,,,
L.LC.ULCong.Num.Cell,,,,,
L.LC.User.Rel,,,,,
Radio Network Availability Rate(%),,,,,
Wireless Network Unavailable Rate,,,,,
Cell Traffic Volume_DL(Gbits)_sum,Cell Traffic Volume_DL(Gbits),raw,normal,,0
Cell Traffic Volume_UL(Gbits)_sum,Cell Traffic Volume_UL(Gbits),raw,normal,,0
DL Average Throughput of QCI 9,,,,,
DL Average Throughput (Kbps)_avg,DL Average Throughput (Kbps),raw,normal,,0
DL Cell PDCP Layer Average Throughput(kbit/s),,,,,
DL Traffic Volume,,,,,
L.Thrp.Time.Cell.DL(s),,,,,
L.Thrp.Time.Cell.UL(s),,,,,
L.Thrp.Time.DL.QCI.9(ms),,,,,
L.Thrp.Time.UL.QCI.9(ms),,,,,
L.Thrp.bits.DL(bit),,,,,
L.Thrp.bits.DL.QCI.9(bit),,,,,
L.Thrp.bits.UL(bit),,,,,
L.Thrp.bits.UL.QCI.9(bit),,,,,
PS Traffic (kbit),,,,,
Total Traffic (kbit),,,,,
UL Average Throughput of QCI 9,,,,,
UL Average Throughput (Kbps)_avg,UL Average Throughput (Kbps),raw,normal,,0
UL Cell PDCP Layer Average Throughput(kbit/s),,,,,
UL Traffic Volume,,,,,
L.RRC.SetupFail.NoReply,,,,,
L.RRC.SetupFail.Rej,,,,,
L.RRC.SetupFail.ResFail,,,,,
RRC Setup Failure Num (Other Cause),,,,,
L.Traffic.DRB.QCI.9,,,,,
L.UL.Interference.Avg(dBm)_avg,Uplink Interference Average (dBm),raw,inverse,interference,2
L.UL.Interference.Max(dBm)_avg,Uplink Interference Max (dBm),raw,inverse,interference,2
L.ChMeas.CQI.DL.0,,,,,
L.ChMeas.CQI.DL.1,,,,,
L.ChMeas.CQI.DL.10,,,,,
L.ChMeas.CQI.DL.11,,,,,
L.ChMeas.CQI.DL.12,,,,,
L.ChMeas.CQI.DL.13,,,,,
L.ChMeas.CQI.DL.14,,,,,
L.ChMeas.CQI.DL.15,,,,,
L.ChMeas.CQI.DL.2,,,,,
L.ChMeas.CQI.DL.3,,,,,
L.ChMeas.CQI.DL.4,,,,,
L.ChMeas.CQI.DL.5,,,,,
L.ChMeas.CQI.DL.6,,,,,
L.ChMeas.CQI.DL.7,,,,,
L.ChMeas.CQI.DL.8,,,,,
